COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG SOLIDARITE;Cycle 2;28;40;68;28;40;68;15.34;16.23;7.84;7.87;0.0;0.0;0.0;0.0;0.0;0.0;10.7;12.5;11.8;28.6;22.5;25.0;39.3;37.5;38.2;14.3;22.5;19.1;7.1;2.5;4.4;0.0;2.5;1.5;;;;
CPEG TENDRESSE;6e;8;10;18;8;10;18;14.3;17.2;9.41;9.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;10.0;16.7;12.5;50.0;33.3;50.0;20.0;33.3;12.5;0.0;5.6;0.0;20.0;11.1;;;;
CPEG TENDRESSE;5e;10;7;17;10;7;17;16.79;16.42;10.15;7.66;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;5.9;0.0;0.0;0.0;50.0;28.6;41.2;20.0;14.3;17.6;20.0;28.6;23.5;10.0;14.3;11.8;;;;
CPEG TENDRESSE;4e;12;15;27;12;15;27;17.46;16.36;8.3;7.58;0.0;0.0;0.0;0.0;0.0;0.0;8.3;26.7;18.5;0.0;13.3;7.4;41.7;6.7;22.2;25.0;26.7;25.9;16.7;20.0;18.5;8.3;6.7;7.4;;;;
CPEG TENDRESSE;3e;12;12;24;12;12;24;16.33;17.11;8.16;8.31;0.0;0.0;0.0;0.0;0.0;0.0;25.0;8.3;16.7;25.0;33.3;29.2;16.7;25.0;20.8;8.3;16.7;12.5;16.7;8.3;12.5;8.3;8.3;8.3;;;;
CPEG TENDRESSE;Cycle 1;42;44;86;42;44;86;17.46;17.2;8.16;7.58;0.0;0.0;0.0;0.0;0.0;0.0;9.5;13.6;11.6;11.9;15.9;14.0;31.0;25.0;27.9;23.8;20.5;22.1;16.7;13.6;15.1;7.1;11.4;9.3;;;;
CPEG TENDRESSE;2nde A2;1;5;6;1;5;6;13.37;14.04;13.37;12.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;80.0;83.3;0.0;20.0;16.7;0.0;0.0;0.0;;;;
CPEG TENDRESSE;2nde D;4;4;8;4;4;8;14.58;12.34;10.32;8.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;12.5;0.0;25.0;12.5;25.0;25.0;25.0;50.0;25.0;37.5;25.0;0.0;12.5;0.0;0.0;0.0;;;;
CPEG TENDRESSE;1ère A2;3;9;12;3;9;12;10.22;12.98;9.83;9.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;66.7;22.2;33.3;33.3;33.3;33.3;0.0;44.4;33.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG TENDRESSE;1ère D;6;6;12;6;6;12;11.48;16.11;9.75;10.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7;0.0;8.3;83.3;50.0;66.7;0.0;16.7;8.3;0.0;16.7;8.3;0.0;16.7;8.3;;;;
CPEG TENDRESSE;Cycle 2;14;24;38;14;24;38;14.58;16.11;9.75;8.57;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.2;2.6;21.4;12.5;15.8;50.0;29.2;36.8;21.4;41.7;34.2;7.1;8.3;7.9;0.0;4.2;2.6;;;;
ESG PRIVES ALIBORI;6e;317;283;600;316;281;597;393.4;404.73;222.23;242.27;0.63;1.07;0.84;0.95;0.71;0.84;7.59;4.63;6.20;9.18;5.69;7.54;24.37;24.20;24.29;31.96;28.83;30.49;15.5;23.1;19.1;9.8;11.7;10.7;;;;
ESG PRIVES ALIBORI;5e;366;282;648;362;275;637;405.46;398.66;232.97;236.64;0.55;0.00;0.31;0.28;0.00;0.16;3.04;4.36;3.61;9.39;8.73;9.11;37.29;30.91;34.54;23.48;30.55;26.53;17.7;16.7;17.3;8.3;8.7;8.5;;;;
ESG PRIVES ALIBORI;4e;306;258;564;293;249;542;340.8;338.21;201.77;190.84;0.00;1.20;0.55;1.02;1.61;1.29;9.90;14.46;11.99;15.36;13.65;14.58;40.61;35.34;38.19;20.82;19.68;20.30;8.5;9.6;9.0;3.8;4.4;4.1;;;;
ESG PRIVES ALIBORI;3e;320;242;562;304;238;542;307.26;311.08;171.59;178.99;1.97;2.10;2.03;3.62;5.04;4.24;18.09;17.23;17.71;22.04;19.75;21.03;34.54;35.29;34.87;11.84;14.29;12.92;6.3;5.5;5.9;1.6;0.8;1.3;;;;
ESG PRIVES ALIBORI;Cycle 1;1309;1065;2374;1275;1043;2318;442.61;439.11;188.28;199.73;0.78;1.05;0.91;1.41;1.73;1.55;9.33;9.78;9.53;13.73;11.60;12.77;34.20;31.16;32.83;22.20;23.78;22.91;12.3;14.2;13.2;6.0;6.7;6.3;;;;
ESG PRIVES ALIBORI;2nde A;30;46;76;29;44;73;147.9;146.7;128.47;124.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.55;2.74;13.79;13.64;13.70;51.72;25.00;35.62;27.59;45.45;38.36;6.9;11.4;9.6;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;2nde C;1;4;5;1;4;5;12.66;16.45;12.66;10.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;25.00;20.00;100.00;0.00;20.00;0.0;50.0;40.0;0.0;25.0;20.0;;;;
ESG PRIVES ALIBORI;2nde D;41;37;78;37;37;74;101.08;105.09;70.14;83.77;2.70;0.00;1.35;0.00;2.70;1.35;10.81;8.11;9.46;16.22;16.22;16.22;45.95;35.14;40.54;16.22;29.73;22.97;8.1;8.1;8.1;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;1ère A;45;59;104;43;58;101;111.22;112.11;85.59;77.34;0.00;1.72;0.99;4.65;0.00;1.98;16.28;17.24;16.83;16.28;13.79;14.85;46.51;41.38;43.56;16.28;25.86;21.78;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;1ère C;2;1;3;2;1;3;13.9;12.37;12.24;12.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;1ère D;41;41;82;40;39;79;78.35;78.22;54.74;52.59;0.00;0.00;0.00;0.00;2.56;1.27;5.00;12.82;8.86;25.00;25.64;25.32;52.50;28.21;40.51;12.50;25.64;18.99;5.0;2.6;3.8;0.0;2.6;1.3;;;;
ESG PRIVES ALIBORI;Tle A;44;57;101;41;49;90;79.19;83.15;61.72;58.43;4.88;2.04;3.33;2.44;4.08;3.33;24.39;18.37;21.11;26.83;8.16;16.67;39.02;53.06;46.67;2.44;14.29;8.89;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;Tle B;1;1;2;1;1;2;8.78;9.91;8.78;9.91;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;50.00;0.00;100.00;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;Tle C;2;1;3;2;1;3;13.07;11.55;12.43;11.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;33.33;100.00;0.00;66.67;0.0;0.0;0.0;0.0;0.0;0.0;;;;
ESG PRIVES ALIBORI;Tle D;38;50;88;37;49;86;64.62;67.04;38.6;41.36;0.00;0.00;0.00;5.41;2.04;3.49;27.03;22.45;24.42;21.62;16.33;18.60;27.03;34.69;31.40;18.92;18.37;18.60;0.0;4.1;2.3;0.0;2.0;1.2;;;;
ESG PRIVES ALIBORI;Cycle 2;245;297;542;233;283;516;164.4;168.38;69.53;74.42;1.29;0.71;0.97;2.15;1.77;1.94;14.59;14.13;14.34;19.74;15.19;17.25;42.49;36.75;39.34;16.74;25.80;21.71;3.0;4.6;3.9;0.0;1.1;0.6;;;;
