COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG CHAMPAGNAT;4e;23;16;39;22;16;38;14.82;16.32;10.29;10.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.2;56.3;63.2;18.2;31.3;23.7;13.6;6.3;10.5;0.0;6.3;2.6;;;;
CPEG CHAMPAGNAT;3e;24;18;42;24;18;42;15.85;13.97;7.82;8.78;0.0;0.0;0.0;0.0;0.0;0.0;16.7;5.6;11.9;33.3;27.8;31.0;37.5;33.3;35.7;8.3;33.3;19.0;4.2;0.0;2.4;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;Cycle 1;96;71;167;95;71;166;18.16;17.67;7.82;8.78;0.0;0.0;0.0;0.0;0.0;0.0;5.3;1.4;3.6;11.6;11.3;11.4;40.0;35.2;38.0;15.8;31.0;22.3;17.9;14.1;16.3;9.5;7.0;8.4;;;;
CPEG CHAMPAGNAT;2nde A2;1;1;2;1;1;2;9.05;9.43;9.05;9.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;2nde C;1;4;5;1;4;5;12.66;16.45;12.66;10.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;20.0;100.0;0.0;20.0;0.0;50.0;40.0;0.0;25.0;20.0;;;;
CPEG CHAMPAGNAT;2nde D;2;5;7;2;5;7;10.19;10.38;8.83;8.7;0.0;0.0;0.0;0.0;0.0;0.0;50.0;20.0;28.6;0.0;60.0;42.9;50.0;20.0;28.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;1ère A2;3;5;8;3;5;8;11.67;11.72;11.1;10.15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;1ère C;2;1;3;2;1;3;13.9;12.37;12.24;12.37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;1ère D;5;8;13;5;8;13;12.16;12.91;10.42;9.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.5;38.5;80.0;12.5;38.5;20.0;25.0;23.1;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;Tle A2;3;9;12;3;9;12;10.98;12.43;10.37;8.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.2;16.7;0.0;0.0;0.0;100.0;55.6;66.7;0.0;22.2;16.7;0.0;0.0;0.0;0.0;0.0;0.0;;;;
